Date,Open,High,Low,Close
05/16/2019,3244.17,3244.18,3206.63,3217.58
05/16/2019,3244.17,3244.18,3206.63,3217.58
05/15/2019,3246.33,3253.68,3231.84,3246.35
05/14/2019,3298.74,3298.74,3228.78,3244.73
05/13/2019,3298.74,3298.74,3276.58,3280.69
05/10/2019,3303.53,3327.95,3280.24,3301.38
05/09/2019,3343.98,3346.41,3298.06,3302.49
05/09/2019,3343.98,3346.41,3298.06,3302.49
05/09/2019,3343.98,3346.41,3298.06,3302.49
05/08/2019,3375.18,3375.18,3348.91,3350.81
05/07/2019,3380.87,3399.86,3374.55,3383.96
05/06/2019,3430.12,3430.53,3369.05,3379.5
05/03/2019,3416.57,3430.92,3402.87,3428.54
05/02/2019,3412.57,3420.93,3408.41,3417.57
05/02/2019,3412.57,3420.93,3408.41,3417.57
05/02/2019,3412.57,3420.93,3408.41,3417.57
05/01/2019,3412.95,3419.97,3412.72,3417.8
04/30/2019,3421.81,3421.96,3402.83,3411.43
04/29/2019,3408.4,3424.11,3406.76,3421.19
04/28/2019,3408.4,3408.4,3406.76,3408.4
04/26/2019,3402.81,3410.39,3388.73,3407.59
04/26/2019,3402.81,3410.39,3388.73,3407.59
04/26/2019,3402.81,3410.39,3388.73,3407.59
04/25/2019,3406.84,3406.84,3406.84,3406.84
04/24/2019,3419.07,3419.07,3419.07,3419.07
04/23/2019,3437.13,3439.61,3432.66,3432.79
04/22/2019,3427.4,3430.53,3423.75,3430.38
04/21/2019,3430.38,3435.78,3430.38,3430.38
04/19/2019,3431.35,3431.35,3429.81,3431.35
04/19/2019,3431.35,3431.35,3429.81,3431.35
04/19/2019,3431.35,3431.35,3429.81,3431.35
04/18/2019,3443.22,3443.73,3435.47,3436.02
04/17/2019,3459.19,3469.05,3458.84,3461.5
04/16/2019,3452.68,3466.3,3448.21,3453.27
04/15/2019,3430.77,3440.32,3430.77,3437.97
04/14/2019,3429.38,3460.26,3429.38,3429.38
04/12/2019,3424.02,3426.95,3424.02,3424.02
04/12/2019,3424.02,3426.95,3424.02,3424.02
04/12/2019,3424.02,3426.95,3424.02,3424.02
04/11/2019,3410.89,3412.28,3405.26,3411.18
04/10/2019,3435.02,3435.72,3408.54,3433.57
04/09/2019,3435.9,3435.9,3419.55,3431.03
04/08/2019,3435,3437.92,3426.89,3435.49
04/07/2019,3440.48,3448.06,3440.48,3440.48
04/05/2019,3438.8,3437.88,3437.88,3437.88
04/05/2019,3438.8,3437.88,3437.88,3437.88
04/05/2019,3438.8,3437.88,3437.88,3437.88
04/04/2019,3453.05,3445.75,3436.36,3441.02
04/03/2019,3421.27,3453.63,3447.22,3449.12
04/02/2019,3417.66,3427.39,3418.82,3425.92
04/01/2019,3361.02,3434.91,3361.02,3428.33
03/29/2019,3355.28,3367.84,3354.89,3363.47
03/28/2019,3368.49,3361.99,3346.57,3355.87
03/28/2019,3368.49,3361.99,3346.57,3355.87
03/28/2019,3368.49,3361.99,3346.57,3355.87
03/27/2019,3379.01,3379.41,3336.96,3350.46
03/26/2019,3357.75,3361.14,3356.39,3361.14
03/25/2019,3419.28,3383.49,3352.67,3367.91
03/22/2019,3419.3,3426.72,3418.91,3426.72
03/21/2019,3424.38,3431.15,3405.72,3422.82
03/21/2019,3424.38,3431.15,3405.72,3422.82
03/21/2019,3424.38,3431.15,3405.72,3422.82
03/20/2019,3421.36,3443.11,3432.69,3432.69
03/19/2019,3417.97,3424.37,3400.53,3412.42
03/18/2019,3391.49,3417.34,3412.15,3419.61
03/15/2019,3377.96,3390.03,3374.95,3390.03
03/14/2019,3388.41,3407.85,3388.41,3383.84
03/14/2019,3388.41,3407.85,3388.41,3383.84
03/14/2019,3388.41,3407.85,3388.41,3383.84
03/13/2019,3393.41,3402.32,3374.6,3393.76
03/12/2019,3349.69,3400.17,3366.98,3388.6
03/11/2019,3324.33,3367.36,3321.69,3363.65
03/08/2019,3369.76,3370,3320.99,3323.99
03/07/2019,3390.81,3391.68,3331.26,3334.12
03/07/2019,3390.81,3391.68,3331.26,3334.12
03/07/2019,3390.81,3391.68,3331.26,3334.12
03/06/2019,3392.43,3395.76,3377.46,3383.48
03/05/2019,3406.11,3406.55,3383.06,3393.87
03/04/2019,3404.16,3425.05,3377.53,3380.62
03/01/2019,3394.55,3407.73,3393.65,3404.92
02/28/2019,3430.15,3403.47,3394.18,3397.87
02/27/2019,3429.42,3451.88,3413.03,3414.84
02/26/2019,3440.36,3444.15,3442.17,3442.17
02/25/2019,3427.88,3422.35,3417.81,3422.35
02/22/2019,3418.05,3428.78,3426.12,3426.12
02/21/2019,3417.46,3405.46,3398.36,3405.46
02/20/2019,3387.56,3434.46,3404.91,3409.38
02/19/2019,3380.23,3412.23,3410.01,3410.01
02/18/2019,3348.6,3395.8,3379.26,3392.77
02/15/2019,3378.81,3379.44,3340.43,3346.68
02/14/2019,3375.5,3365.88,3359.75,3365.88
02/13/2019,3354.67,3382.23,3366.14,3378.46
02/12/2019,3337.86,3367.35,3364.02,3364.02
02/11/2019,3337.83,3349.41,3334.56,3336.03
02/08/2019,3356.04,3356.5,3338.11,3338.11
02/07/2019,3341.87,3327.72,3318.31,3327.72
02/06/2019,3347.1,3361.35,3339.11,3359.58
02/05/2019,3331.26,3354.13,3331.26,3346.78
02/04/2019,3332.74,3351.35,3346.16,3346.16
02/01/2019,3350.44,3334.85,3331.26,3334.85
01/31/2019,3331.75,3360.52,3342.57,3343.48
01/31/2019,3331.75,3360.52,3342.57,3343.48
01/31/2019,3331.75,3360.52,3342.57,3343.48
01/30/2019,3309.51,3360.48,3340.02,3340.02
01/29/2019,3325.65,3316.07,3299.8,3304.59
01/28/2019,3300.99,3300.99,3294.96,3300.99
01/27/2019,3331.55,3344.13,3331.55,3331.55
01/25/2019,3282.35,3329.41,3325.9,3325.9
01/24/2019,3272.79,3313.36,3281.23,3311.84
01/24/2019,3272.79,3313.36,3281.23,3311.84
01/24/2019,3272.79,3313.36,3281.23,3311.84
01/23/2019,3279.67,3283.81,3260.44,3276.18
01/22/2019,3297.01,3285.72,3267.09,3283.32
01/21/2019,3277.98,3299.35,3272.1,3287.3
01/18/2019,3256.88,3280.69,3256.81,3280.69
01/17/2019,3260.39,3284.33,3280.2,3280.2
01/17/2019,3260.39,3284.33,3280.2,3280.2
01/17/2019,3260.39,3284.33,3280.2,3280.2
01/16/2019,3263.24,3271.27,3249.13,3251.75
01/15/2019,3224.67,3266.9,3239.16,3244.92
01/14/2019,3249.34,3246.93,3220.32,3245.34
